trial_id,image_id,condition,POS,concreteness,importance,rank,model
matched_abs_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,abs,NN,4.79,0.98876953125,0.17777777777777778,clip
matched_abs_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,abs,NN,4.79,0.5154639175257731,0.13333333333333333,human
matched_abs_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,abs,NN,4.71,1.0,0.2,clip
matched_abs_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,abs,NN,4.71,0.3402061855670103,0.06666666666666667,human
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.57,0.55517578125,0.10606060606060606,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.57,0.4424778761061947,0.06060606060606061,human
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.9,0.558837890625,0.12121212121212122,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.9,0.7964601769911505,0.13636363636363635,human
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.97,0.39324951171875,0.09090909090909091,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.97,0.7433628318584071,0.12121212121212122,human
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.45,0.07958984375,0.030303030303030304,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.45,0.9911504424778761,0.15151515151515152,human
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.9,0.06829833984375,0.015151515151515152,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,4.9,0.49557522123893805,0.07575757575757576,human
