trial_id,image_id,condition,group,map_pcc
matched_abs_COCO_val2014_000000487421.jpg,val2014/COCO_val2014_000000487421.jpg,abs,image_grp2,-0.11534616288904899
matched_con_COCO_val2014_000000487421.jpg,val2014/COCO_val2014_000000487421.jpg,con,image_grp1,-0.06272526185474106
matched_con_COCO_val2014_000000487421.jpg,val2014/COCO_val2014_000000487421.jpg,con,image_grp2,-0.03651555551369588
matched_abs_COCO_val2014_000000198154.jpg,val2014/COCO_val2014_000000198154.jpg,abs,image_grp1,0.102831691823652
matched_abs_COCO_val2014_000000198154.jpg,val2014/COCO_val2014_000000198154.jpg,abs,image_grp2,0.09085887826854476
matched_con_COCO_val2014_000000198154.jpg,val2014/COCO_val2014_000000198154.jpg,con,image_grp1,0.2921228341945824
matched_con_COCO_val2014_000000198154.jpg,val2014/COCO_val2014_000000198154.jpg,con,image_grp2,0.20092551263497163
matched_abs_COCO_val2014_000000303944.jpg,val2014/COCO_val2014_000000303944.jpg,abs,image_grp1,0.2843586087398324
matched_abs_COCO_val2014_000000303944.jpg,val2014/COCO_val2014_000000303944.jpg,abs,image_grp2,0.23444195387800948
matched_con_COCO_val2014_000000303944.jpg,val2014/COCO_val2014_000000303944.jpg,con,image_grp1,0.3096265409339334
matched_con_COCO_val2014_000000303944.jpg,val2014/COCO_val2014_000000303944.jpg,con,image_grp2,0.25327237779213413
matched_abs_COCO_val2014_000000546203.jpg,val2014/COCO_val2014_000000546203.jpg,abs,image_grp1,0.2790626992167292
matched_abs_COCO_val2014_000000546203.jpg,val2014/COCO_val2014_000000546203.jpg,abs,image_grp2,0.23033590484831784
matched_con_COCO_val2014_000000546203.jpg,val2014/COCO_val2014_000000546203.jpg,con,image_grp1,0.3209683413049663
matched_con_COCO_val2014_000000546203.jpg,val2014/COCO_val2014_000000546203.jpg,con,image_grp2,0.22913058446060552
matched_abs_COCO_val2014_000000308156.jpg,val2014/COCO_val2014_000000308156.jpg,abs,image_grp1,0.027579719727954935
matched_abs_COCO_val2014_000000308156.jpg,val2014/COCO_val2014_000000308156.jpg,abs,image_grp2,0.002311991630091158
matched_con_COCO_val2014_000000308156.jpg,val2014/COCO_val2014_000000308156.jpg,con,image_grp1,0.023514530973065634
matched_con_COCO_val2014_000000308156.jpg,val2014/COCO_val2014_000000308156.jpg,con,image_grp2,0.0411514851417012
matched_abs_COCO_val2014_000000515765.jpg,val2014/COCO_val2014_000000515765.jpg,abs,image_grp1,0.3837529580488624
matched_abs_COCO_val2014_000000515765.jpg,val2014/COCO_val2014_000000515765.jpg,abs,image_grp2,0.21016997971362716
matched_con_COCO_val2014_000000515765.jpg,val2014/COCO_val2014_000000515765.jpg,con,image_grp1,0.4957250148622446
matched_con_COCO_val2014_000000515765.jpg,val2014/COCO_val2014_000000515765.jpg,con,image_grp2,0.42010818609351785
matched_abs_COCO_val2014_000000204311.jpg,val2014/COCO_val2014_000000204311.jpg,abs,image_grp1,0.2954437745739313
matched_abs_COCO_val2014_000000204311.jpg,val2014/COCO_val2014_000000204311.jpg,abs,image_grp2,0.29016703680238876
matched_con_COCO_val2014_000000204311.jpg,val2014/COCO_val2014_000000204311.jpg,con,image_grp1,0.5603497221691993
matched_con_COCO_val2014_000000204311.jpg,val2014/COCO_val2014_000000204311.jpg,con,image_grp2,0.4991391810649507
matched_abs_COCO_val2014_000000024144.jpg,val2014/COCO_val2014_000000024144.jpg,abs,image_grp1,-0.050887649035910656
matched_abs_COCO_val2014_000000024144.jpg,val2014/COCO_val2014_000000024144.jpg,abs,image_grp2,-0.10497253196170382
matched_con_COCO_val2014_000000024144.jpg,val2014/COCO_val2014_000000024144.jpg,con,image_grp1,-0.1236733018613753
matched_con_COCO_val2014_000000024144.jpg,val2014/COCO_val2014_000000024144.jpg,con,image_grp2,-0.13367883288067048
matched_abs_COCO_val2014_000000117064.jpg,val2014/COCO_val2014_000000117064.jpg,abs,image_grp1,0.6282391638899817
matched_abs_COCO_val2014_000000117064.jpg,val2014/COCO_val2014_000000117064.jpg,abs,image_grp2,0.4690791687495005
