,Image,Condition,Human,CLIP
0,1,Concrete,-0.04833432778966171,-0.7709815825618074
1,2,Concrete,0.05301457361643796,1.069024183154376
2,3,Concrete,0.25373095760097203,0.3972760464643408
3,4,Concrete,0.1769016501838539,0.17092613084052458
4,5,Concrete,0.41040607965027104,-0.28907531058852126
5,6,Concrete,-0.20588787476520956,0.22203740211041856
6,7,Concrete,0.22209272950695336,-0.2744720902256944
7,8,Concrete,0.2943562567758119,0.813467826804906
8,9,Concrete,-0.2872136269171543,2.784902575786531
9,10,Concrete,-0.26949678179056014,0.7769597758978389
10,11,Concrete,0.4348167194714575,-0.17224954768590645
11,12,Concrete,-0.2316732186722586,0.4264824871899945
12,13,Concrete,0.6384759414024217,1.5728352856719023
13,14,Concrete,-0.6407124861353577,1.2296596071454713
14,15,Concrete,0.11564633235161037,1.156643505331337
15,16,Concrete,0.080094781783137,-0.2744720902256944
16,17,Concrete,0.11212587670551556,-1.9611440421321957
17,18,Concrete,-0.43303182334590157,0.40457765664575424
18,19,Concrete,0.141064261226637,0.054100367937909774
19,20,Concrete,0.2317307433085187,0.9083887591632807
20,21,Concrete,-0.3373032596499177,0.6309275722695704
21,22,Concrete,-0.2986570888219703,-0.8659025149201819
22,23,Concrete,0.46715162704610336,-0.34748819203982867
23,24,Concrete,0.29937655469509833,0.9668016406145881
24,25,Concrete,-0.009124150605826433,-1.2017765832651994
25,26,Concrete,0.1685337119927621,-1.0265379389112772
26,27,Concrete,0.22753729590706476,-0.5300284465751643
27,28,Concrete,0.357514976621048,0.14171969011487087
28,29,Concrete,0.5358552311996329,1.9452174049239872
29,30,Concrete,0.29674568411353636,-0.4132026836725495
30,31,Concrete,0.29868070726520923,1.8429948623841992
31,32,Concrete,-0.3481858731947115,-1.347808786893468
32,33,Concrete,0.548708828559666,0.9302935897075209
33,34,Concrete,0.18362389522253736,-0.7928864131060477
34,35,Concrete,0.46419604467299075,0.3388631650130334
35,36,Concrete,0.3056915692816805,-0.2525672596814541
36,37,Concrete,0.5042028821123945,-0.055423784783291616
37,38,Concrete,0.417657709050201,0.22203740211041856
38,39,Concrete,-0.23554209379971455,-0.5154252262123374
39,40,Concrete,0.15945747473224306,0.5506098602740227
40,41,Concrete,0.5867234844188711,0.27314867338031257
41,42,Concrete,0.15790927512460454,-2.2568592544794397
42,43,Concrete,-0.20157084203526612,-0.6030445483892986
43,44,Concrete,0.587078983826279,0.5798163009996764
44,45,Concrete,0.4325504131156518,-0.1868527680487333
45,46,Concrete,0.48801057091972744,0.6017211315439167
46,47,Concrete,0.06962693959921756,-1.2674910748979205
47,48,Concrete,0.31355980591322835,0.6382291824509838
48,49,Concrete,-0.40620103505053934,-0.19415437823014672
49,50,Concrete,-0.34233593429219233,-0.8732041251015953
50,51,Concrete,0.45783770273733937,0.5798163009996764
51,52,Concrete,-0.8489078947752169,-0.4716155651238569
52,53,Concrete,-0.4550590086643112,1.0763257933357895
53,54,Concrete,-1.3129714507021488,-0.06272539496470504
54,55,Concrete,-0.1353457582417323,1.1712467256941639
55,56,Concrete,0.5279306360646018,1.324580539503846
56,57,Concrete,-1.546799191543073,-1.2747926850793339
57,58,Concrete,-0.6420177532389123,-2.607336543187284
58,59,Concrete,0.09772435727787455,-1.435428109070429
59,60,Concrete,0.6175333127896037,0.915690369344694
60,61,Concrete,0.06235603927583434,-0.14304310696025274
61,62,Concrete,-0.16139253265444214,-1.0849508203625846
62,63,Concrete,0.22848915742521175,0.4556889279156482
63,64,Concrete,0.6119887846228901,0.5360066399111959
64,65,Concrete,-1.3140767709395889,-2.607336543187284
65,66,Concrete,0.30303565916384795,-0.4424091243982032
66,67,Concrete,0.2559104175952077,1.134738674787097
67,68,Concrete,0.04155458711429816,0.17092613084052458
68,69,Concrete,0.6495101965242529,1.426803082043634
69,70,Concrete,0.14893895025139653,0.21473579192900513
70,71,Concrete,0.3465046994374923,1.2369612173268847
71,72,Concrete,-0.12228916569940074,-0.32558336149558836
72,73,Concrete,0.3411781680541171,0.623625962088157
73,74,Concrete,-0.14366510429019422,0.6309275722695704
74,75,Concrete,0.13455736549689887,0.4264824871899945
75,76,Concrete,0.6146145803479865,-0.13574149677883932
76,77,Concrete,-0.9101996124081051,-0.8805057352830088
77,78,Concrete,-0.7104549141503597,0.2950535039245528
78,79,Concrete,-1.243196317529681,-0.11383666623459902
79,80,Concrete,0.06610737468505273,0.024893927212256067
80,1,Abstract,-0.7048424442717829,0.41187926682716763
81,2,Abstract,0.3233600426418678,0.38267282610151393
82,3,Abstract,0.325244638133042,-0.9243153963714893
83,4,Abstract,0.30477489464252255,1.069024183154376
84,5,Abstract,0.3076526129840034,0.6382291824509838
85,6,Abstract,0.005673845354357742,-0.5884413280264718
86,7,Abstract,0.3055228725593234,-0.5519332771194045
87,8,Abstract,0.3151143968477615,0.30235511410596627
88,9,Abstract,-0.1337777559771073,0.8572774878933866
89,10,Abstract,-0.2873542886386287,1.0617225729729625
90,11,Abstract,0.3286920136175979,-1.3186023461678142
91,12,Abstract,0.006416072414609426,-0.23796403931862728
92,13,Abstract,0.13173554981183705,0.572514690818263
93,14,Abstract,-0.4751185265409986,-0.026217344057637915
94,15,Abstract,0.21724045673646955,0.7842613860792523
95,16,Abstract,-0.35993893905407554,0.22203740211041856
96,17,Abstract,0.49333786398557977,1.3172789293224325
97,18,Abstract,0.21151496661805635,1.1785483358755773
98,19,Abstract,0.4700183188383417,0.38267282610151393
99,20,Abstract,-0.02046943133451596,-0.09923344587177217
100,21,Abstract,0.5397628692526287,0.3242599446502065
101,22,Abstract,-1.1829381254280684,-1.4062216683447755
102,23,Abstract,0.14917563052178814,-0.5227268363937508
103,24,Abstract,-0.3846694991507079,-2.337176966474987
104,25,Abstract,0.0005007599592176689,-0.9681250574599699
105,26,Abstract,0.3168405045925859,-0.14304310696025274
106,27,Abstract,-0.24917736230545592,-1.2309830239908532
107,28,Abstract,-0.009220371493380609,-0.559234887300818
108,29,Abstract,0.10386706986855666,-0.34748819203982867
109,30,Abstract,-0.2834769236463135,0.46299053809706164
110,31,Abstract,-0.1669538101150242,0.16362452065911115
111,32,Abstract,0.16914211359249373,0.9083887591632807
112,33,Abstract,0.16044384689701413,0.9010871489818671
113,34,Abstract,0.5604693317964291,-1.2820942952607473
114,35,Abstract,-0.02048993167602619,0.4264824871899945
115,36,Abstract,0.3537315588706266,0.40457765664575424
116,37,Abstract,0.25793322660351686,-0.08463022550894532
117,38,Abstract,-1.2524220242833755,-0.23066242913721385
118,39,Abstract,0.006527455084562631,0.5068001991855422
119,40,Abstract,-0.0365484284728247,-0.7782831927432208
120,41,Abstract,0.4620406311324617,0.5141018093669556
121,42,Abstract,0.3922592394959441,-0.01891573387622449
122,43,Abstract,0.651647084701875,0.7623565555350121
123,44,Abstract,0.16389832065012627,-0.14304310696025274
124,45,Abstract,0.11273453681197765,1.0106113017030687
125,46,Abstract,0.36184816152458166,-0.20875759859297358
126,47,Abstract,0.20369287687640097,-0.7125687011105
127,48,Abstract,0.6208098563299822,1.5071207940391815
128,49,Abstract,-0.5919614946622129,0.3534663853758602
129,50,Abstract,-1.8371790792476228,-2.304319720658627
130,51,Abstract,0.5451719620213358,1.1420402849685103
131,52,Abstract,-0.024411562631854768,-1.3186023461678142
132,53,Abstract,-0.6481089793995332,-0.38399624294689577
133,54,Abstract,0.3901826011616691,1.4706127431321143
134,55,Abstract,0.42321457356908737,1.6896610485745172
135,56,Abstract,0.06711166098779169,-1.2528878545350934
136,57,Abstract,0.09772577998094269,-0.20145598841156015
137,58,Abstract,-0.542560722579405,0.6674356231766375
138,59,Abstract,-0.12855797082946827,-1.2747926850793339
139,60,Abstract,0.059439439244580686,0.4775937584598885
140,61,Abstract,-2.8828045778112994,-0.25986886986286756
141,62,Abstract,-0.40224254540273147,-1.0849508203625846
142,63,Abstract,0.22644147842806825,0.2585454530174857
143,64,Abstract,0.0005247819296197553,1.3026757089596057
144,65,Abstract,0.10176756751861339,-2.4722567548311356
145,66,Abstract,-0.2502878777049332,-1.1798717527209592
146,67,Abstract,0.10177397185660411,0.054100367937909774
147,68,Abstract,-0.4484285451299987,-0.7198703112919134
148,69,Abstract,-0.1552343085400541,0.22203740211041856
149,70,Abstract,-0.057142776018331363,0.8499758777119732
150,71,Abstract,0.5758008389827995,0.18552935120335143
151,72,Abstract,-0.6289011222889587,-1.3551103970748815
152,73,Abstract,-0.23786408703870135,0.5579114704554362
153,74,Abstract,0.4949815952391345,0.9814048609774149
154,75,Abstract,0.1083809326036256,0.8718807082562134
155,76,Abstract,-0.4377504472453759,-0.8366960741945282
156,77,Abstract,-0.2806282324490738,-0.08463022550894532
157,78,Abstract,0.09446058690998425,-0.9754266676413833
158,79,Abstract,0.5440119259153163,0.11251324938921718
159,80,Abstract,-0.7421277908632324,-3.6806732398550577
